fare_id,route_id,origin_id,destination_id
F10,,KLYG,SVNSD
F10,,SVNSD,KLYG
F100,1698,AECSL,CKIA
F100,1698,AECSL,DHFL1
F100,1698,AECSL,KIAS
F100,1698,AECSL,TRMPT
F100,1698,GRPIN,BTHC-1
F100,1698,GRPIN,CKHJ
F100,1698,GRPIN,HNMSR
F100,1698,HAL AG,CKIA
F100,1698,HAL AG,DHFL1
F100,1698,HAL AG,KIAS
F100,1698,HALPS2,CKIA
F100,1698,HALPS2,DHFL1
F100,1698,HALPS2,KIAS
F100,1698,KDGATE,CKIA
F100,1698,KDGATE,DHFL1
F100,1698,KDGATE,KIAS
F100,1698,KIAS,HAL AG
F100,1698,KIAS,KDGATE
F100,1698,KIAS,MRHLLI
F100,1698,KIAS,MTHB
F100,1698,KIAT2,HAL AG
F100,1698,KIAT2,KDGATE
F100,1698,KIAT2,MRHLLI
F100,1698,KIAT2,MTHB
F100,1698,MRHLLI,CKIA
F100,1698,MRHLLI,DHFL1
F100,1698,MRHLLI,KIAS
F100,1698,MRHLLI,TRMPT
F100,1698,MTHB,CKIA
F100,1698,MTHB,DHFL1
F100,1698,MTHB,KIAS
F100,1698,MTHB,SDHG2
F100,1698,MTHB,TRMPT
F100,1698,NVYGT1,KDGATE
F100,1698,TRMPT,KDGATE
F100,1698,TRMPT,MTHB
F100,1698,VYDHS,CKHJ
F100,1698,VYDHS,SDHG2
F100,1698,VYDHS,TRMPT
F100,1699,HOFM,BTHC-1
F100,1699,HOFM,CKHJ
F100,1699,HOFM,SDHG2
F100,1699,KDB-1,BTHC-1
F100,1699,KDB-1,CKHJ
F100,1699,KDB-1,HNMSR
F100,1699,KDGATE,CKIA
F100,1699,KDGATE,DHFL1
F100,1699,KDGATE,KIAS
F100,1699,KIAS,KDGATE
F100,1699,KIAS,MRHLLI
F100,1699,KIAS,MTHB
F100,1699,KIAT2,KDGATE
F100,1699,KIAT2,MRHLLI
F100,1699,KIAT2,MTHB
F100,1699,NVYGT1,KDGATE
F100,1699,NVYGT1,SDPRA
F100,1699,SDPRA,CKIA
F100,1699,SDPRA,DHFL1
F100,1699,SDPRA,KIAS
F100,1699,SDPRA,TRMPT
F100,1699,TRMPT,KDGATE
F100,1699,TRMPT,MTHB
F100,1699,TRMPT,SDPRA
F100,1699,VRTKD4,CKIA
F100,1699,VRTKD4,DHFL1
F100,1699,VRTKD4,KIAS
F100,1699,VRTKD4,SDHG2
F100,1699,VRTKD4,TRMPT
F100,1699,WFPO2,CKHJ
F100,1699,WFPO2,SDHG2
F100,1699,WFPO2,TRMPT
F100,1700,HOFM,BTHC-1
F100,1700,HOFM,CKHJ
F100,1700,HOFM,SDHG2
F100,1700,KDGATE,CKIA
F100,1700,KDGATE,DHFL1
F100,1700,KDGATE,KIAS
F100,1700,KIAS,KDGATE
F100,1700,KIAS,MTHB
F100,1700,KIAT2,KDGATE
F100,1700,KIAT2,MTHB
F100,1700,NVYGT1,KDGATE
F100,1700,NVYGT1,SDPRA
F100,1700,SDPRA,CKIA
F100,1700,SDPRA,DHFL1
F100,1700,SDPRA,KIAS
F100,1700,SDPRA,TRMPT
F100,1700,TRMPT,KDGATE
F100,1700,TRMPT,MTHB
F100,1700,TRMPT,SDPRA
F100,1700,VRTKD4,CKIA
F100,1700,VRTKD4,DHFL1
F100,1700,VRTKD4,KIAS
F100,1700,VRTKD4,SDHG2
F100,1700,VRTKD4,TRMPT
F100,1700,VYDHS,CKHJ
F100,1700,VYDHS,SDHG2
F100,1700,VYDHS,TRMPT
F100,1700,WFPO2,CKHJ
F100,1700,WFPO2,SDHG2
F100,1700,WFPO2,TRMPT
F100,1701,HOFM,BTHC-1
F100,1701,HOFM,CKHJ
F100,1701,HOFM,SDHG2
F100,1701,ITPL,CKIA
F100,1701,ITPL,DHFL1
F100,1701,ITPL,KIAS
F100,1701,ITPL,TRMPT
F100,1701,KDB-1,BTHC-1
F100,1701,KDB-1,CKHJ
F100,1701,KDB-1,HNMSR
F100,1701,KIAS,PAG
F100,1701,PAG,CKIA
F100,1701,PAG,DHFL1
F100,1701,PAG,KIAS
F100,1702,ITPL,CKIA
F100,1702,ITPL,DHFL1
F100,1702,ITPL,KIAS
F100,1703,KIAS,KDGATE
F100,1703,KIAT2,KDGATE
F100,2136,BLDR,KMPR
F100,2136,MLRTYDRY,DVH2
F100,2136,MLRTYDRY,ECOSP
F100,2136,MLRTYDRY,MTHMTH
F100,2136,MLRTYDRY,NHC3
F100,2136,NHC3,MLRTYDRY
F100,2164,BSK5,CKIA
F100,2164,BSK5,DHFL1
F100,2164,BSK5,KIAS
F100,2164,KIAS,BSK5
F100,2164,KIAS,SRK
F100,2164,KIAT2,BSK5
F100,2164,KIAT2,SRK
F100,2164,SRK,CKIA
F100,2164,SRK,DHFL1
F100,2164,SRK,KIAS
F100,2216,ATBL,SJPIBJN
F100,2223,MLRTYDRY,DVH2
F100,2223,MLRTYDRY,ECOSP
F100,2223,MLRTYDRY,MTHMTH
F100,2223,MLRTYDRY,NHC3
F100,6283,MLRTYDRY,DVH2
F100,6283,MLRTYDRY,ECOSP
F100,6283,MLRTYDRY,MTHMTH
F100,6283,MLRTYDRY,NHC3
F100,6464,HSRKEB,CKIA
F100,6464,HSRKEB,DHFL1
F100,6464,HSRKEB,KIAS
F100,6464,HSRKEB,TRMPT
F100,6464,KIAS,HSRKEB
F100,6464,KIAS,NTFCR1
F100,6464,KIAS,PRAPC
F100,6464,KIAT2,HSRKEB
